01108,"COLIGNY ",1355769,"18,29",247978,1332718,"0,492",6564,1457302,"5,75",83810,1241039,"0,177",2187
01109,"COLLONGES ",3115658,"12,82",399429,"- ","    .     ","- ",3405519,"3,24",110337,2677955,"0,177",4737
01110,"COLOMIEU ",160513,"13,6",21829,"- ","    .     ","- ",163173,"3,62",5911,"- ","      .   ","- "
01111,"CONAND ",144616,"16,15",23357,"- ","    .     ","- ",143764,"5,64",8110,"- ","      .   ","- "
01112,"CONDAMINE LA DOYE ",468474,"10,74",50315,"- ","    .     ","- ",470625,"7,02",33044,447223,"0,177",790
01113,"CONDEISSIAT ",933182,"16,63",155189,"- ","    .     ","- ",932983,"2,29",21356,847060,"0,177",1499
01114,"CONFORT ",631336,"16,96",107069,"- ","    .     ","- ",631336,"2,63",16608,605557,"0,177",1077
01115,"CONFRANCON ",1419909,"8,03",114006,"- ","    .     ","- ",1266329,"14,58",184634,1285401,"0,177",2267
01116,"CONTREVOZ ",629529,"12,55",79015,"- ","    .     ","- ",606643,"3,62",21964,"- ","      .   ","- "
01117,"CONZIEU ",175086,"13,28",23250,"- ","    .     ","- ",176056,"3,62",6377,"- ","      .   ","- "
01118,"CORBONOD ",1405446,"16,69",234578,"- ","    .     ","- ",1417178,"2,46",34863,1335660,"0,177",2370
01119,"CORCELLES ",340714,"10,28",35024,"- ","    .     ","- ",335231,"6,31",21150,"- ","      .   ","- "
01121,"CORLIER ",134830,"11,45",15434,"- ","    .     ","- ",130407,"6,31",8230,"- ","      .   ","- "
01122,"CORMARANCHE EN BUGEY ",1178671,"9,1",107257,"- ","    .     ","- ",1248878,"6,31",78813,"- ","      .   ","- "
01123,"CORMORANCHE SUR SAONE ",1047743,"12,83",134423,"- ","    .     ","- ",1199517,"7,19",86231,1022211,"0,177",1812
01124,"CORMOZ ",593378,"12,55",74469,593378,"1,01",5990,643264,"7,56",48626,582405,"0,177",1029
01125,"CORVEISSIAT ",765008,"10,05",76897,"- ","    .     ","- ",782860,"6,33",49554,744284,"0,177",1322
